file_name	sample_id	SampleID	CellType	SampleType	..filter..
metadata.txt.HC1_BND.txt	HC1_BND	HC1	BND	H	conv:MiXcr
metadata.txt.HC2_BND.txt	HC2_BND	HC2	BND	H	conv:MiXcr
metadata.txt.HC4_BND.txt	HC4_BND	HC4	BND	H	conv:MiXcr
metadata.txt.HC1_NAIVE .txt	HC1_NAIVE 	HC1	NAIVE 	H	conv:MiXcr
metadata.txt.HC2_NAIVE .txt	HC2_NAIVE 	HC2	NAIVE 	H	conv:MiXcr
metadata.txt.HC4_NAIVE .txt	HC4_NAIVE 	HC4	NAIVE 	H	conv:MiXcr
metadata.txt.HC1_ACS.txt	HC1_ACS	HC1	ACS	H	conv:MiXcr
metadata.txt.HC2_ACS.txt	HC2_ACS	HC2	ACS	H	conv:MiXcr
metadata.txt.HC4_ACS.txt	HC4_ACS	HC4	ACS	H	conv:MiXcr
metadata.txt.HC1_MEMORY.txt	HC1_MEMORY	HC1	MEMORY	H	conv:MiXcr
metadata.txt.HC2_MEMORY.txt	HC2_MEMORY	HC2	MEMORY	H	conv:MiXcr
metadata.txt.HC4_MEMORY.txt	HC4_MEMORY	HC4	MEMORY	H	conv:MiXcr
metadata.txt.HC257_BND.txt	HC257_BND	HC257	BND	H	conv:MiXcr
metadata.txt.HC258_BND.txt	HC258_BND	HC258	BND	H	conv:MiXcr
metadata.txt.HC259_BND.txt	HC259_BND	HC259	BND	H	conv:MiXcr
metadata.txt.HC260_BND.txt	HC260_BND	HC260	BND	H	conv:MiXcr
metadata.txt.HC257_NAIVE.txt	HC257_NAIVE	HC257	NAIVE	H	conv:MiXcr
metadata.txt.HC258_NAIVE.txt	HC258_NAIVE	HC258	NAIVE	H	conv:MiXcr
metadata.txt.HC259_NAIVE.txt	HC259_NAIVE	HC259	NAIVE	H	conv:MiXcr
metadata.txt.HC260_NAIVE.txt	HC260_NAIVE	HC260	NAIVE	H	conv:MiXcr
metadata.txt.HC257_ACS.txt	HC257_ACS	HC257	ACS	H	conv:MiXcr
metadata.txt.HC258_ACS.txt	HC258_ACS	HC258	ACS	H	conv:MiXcr
metadata.txt.HC259_ACS.txt	HC259_ACS	HC259	ACS	H	conv:MiXcr
metadata.txt.HC260_ACS.txt	HC260_ACS	HC260	ACS	H	conv:MiXcr
metadata.txt.HC257_MEMORY.txt	HC257_MEMORY	HC257	MEMORY	H	conv:MiXcr
metadata.txt.HC258_MEMORY.txt	HC258_MEMORY	HC258	MEMORY	H	conv:MiXcr
metadata.txt.HC259_MEMORY.txt	HC259_MEMORY	HC259	MEMORY	H	conv:MiXcr
metadata.txt.HC260_MEMORY.txt	HC260_MEMORY	HC260	MEMORY	H	conv:MiXcr
