sample_id	SampleID	CellType	SampleType	..filter..	IGHJ1	IGHJ2	IGHJ2P	IGHJ3	IGHJ4	IGHJ5	IGHJ6
S22_BND	S22	BND	S	conv:MiXcr	0.0019989257503430806	0.021928513828390585	0.0	0.04511008558983151	0.6244703713497332	0.16492629175965198	0.14156571172205962
S25_BND	S25	BND	S	conv:MiXcr	0.0017897739225076121	0.031490346582498864	0.0	0.07168770143665545	0.7777535138659253	0.04488946486721685	0.0723890993252059
S229_BND	S229	BND	S	conv:MiXcr	0.0033088149790962383	0.037671305674170416	2.2356857966866488E-5	0.07952334378814288	0.6139640334861327	0.17532248017616278	0.09018756503833797
HC1_BND	HC1	BND	H	conv:MiXcr	0.011429916962234528	0.018323217398221216	0.0	0.114888340599778	0.4427914480910794	0.14797029098274844	0.2645966859659484
HC2_BND	HC2	BND	H	conv:MiXcr	0.008570333338121265	0.018792490699511704	0.0	0.1141673734343588	0.4840801967322664	0.15043568351048675	0.2239538222852651
HC4_BND	HC4	BND	H	conv:MiXcr	0.011710893509719968	0.010488544355506767	0.0	0.07649539868301952	0.5117305588186629	0.11356017948819393	0.2760143251449068
S22_NAIVE 	S22	NAIVE 	S	conv:MiXcr	0.007678570660714756	0.01898809333928676	0.0	0.13696427201786135	0.4617856681071468	0.15124998487499958	0.22333331100000092
S25_NAIVE 	S25	NAIVE 	S	conv:MiXcr	0.009827430182418275	0.016678797629855954	0.0	0.11602362561770226	0.47726197428378536	0.14910288407486266	0.23110518821138556
S229_NAIVE 	S229	NAIVE 	S	conv:MiXcr	0.014380320227057231	0.01958372557237402	0.0	0.1408892952771973	0.4785051555553586	0.13665088510501375	0.20999051826300905
HC1_NAIVE 	HC1	NAIVE 	H	conv:MiXcr	0.01677400582043629	0.0237912116937422	0.0	0.1583437311616843	0.4755598870782545	0.1474814809742392	0.1780495832716535
HC2_NAIVE 	HC2	NAIVE 	H	conv:MiXcr	0.008665510398613662	0.025314654967753245	0.0	0.1255788720061381	0.4759496072051563	0.16998606136034877	0.194505194062
HC4_NAIVE 	HC4	NAIVE 	H	conv:MiXcr	0.01800774152885817	0.022269573690687904	0.0	0.12725470680392895	0.4858788793511202	0.15594704163990783	0.19064195698550693
S22_ACS	S22	ACS	S	conv:MiXcr	0.022040926999446986	0.01897123704092928	0.0	0.14881082582688196	0.5017975161919298	0.1452433483075242	0.16313604563329778
S25_ACS	S25	ACS	S	conv:MiXcr	0.00630142135112004	0.0028534738193751108	0.0	0.3186854677272108	0.45424925309602415	0.16716600791839226	0.05074427608788753
S229_ACS	S229	ACS	S	conv:MiXcr	0.001026212948131638	0.0089012818761853	0.0	0.11013942010708519	0.44227547166759756	0.2514890992236503	0.1861684141773602
HC1_ACS	HC1	ACS	H	conv:MiXcr	0.007902416743763338	0.020953794919874247	0.0	0.1337353244754677	0.48455306570296547	0.1075774990170136	0.24527779914092565
HC2_ACS	HC2	ACS	H	conv:MiXcr	0.010873393149526768	0.01890514359690934	0.0	0.19290291863976788	0.5753269662572634	0.11084755003405176	0.09114392832249063
HC4_ACS	HC4	ACS	H	conv:MiXcr	0.004050844685011917	0.004888950481910933	0.0	0.07588349569423228	0.7280345689062774	0.0915281372363476	0.09561390299622997
S22_MEMORY	S22	MEMORY	S	conv:MiXcr	0.026543944867915916	0.02562863642419467	0.0	0.17421370712160947	0.5210647568228722	0.1399150657166109	0.1126337890468067
S25_MEMORY	S25	MEMORY	S	conv:MiXcr	0.05277701499318243	0.02743386690482677	0.0	0.12004362039269105	0.5845468009217467	0.14356875211889694	0.07162984466866616
S229_MEMORY	S229	MEMORY	S	conv:MiXcr	0.011636581612477437	0.0323987685338766	0.0	0.147731497265187	0.5115217441243275	0.15222255773954588	0.14448875072459544
HC1_MEMORY	HC1	MEMORY	H	conv:MiXcr	0.017060234435661206	0.0290674375575342	0.0	0.11526914996997843	0.5383729699770119	0.21057632474984153	0.08965378330998272
HC2_MEMORY	HC2	MEMORY	H	conv:MiXcr	0.017113316684603905	0.028933855013144744	1.7642594520210326E-5	0.11361830871015269	0.5357173826061522	0.2160159273054616	0.0885834670859747
HC4_MEMORY	HC4	MEMORY	H	conv:MiXcr	0.02986506536508358	0.023354687794148423	0.0	0.14495554958959833	0.5018305323555469	0.2267855334347091	0.07320853146092361
HC257_BND	HC257	BND	H	conv:MiXcr	0.01890941511868534	0.030664611105471435	0.0	0.12485468973622986	0.4076933873441508	0.19811046647604033	0.21976733021943223
HC258_BND	HC258	BND	H	conv:MiXcr	0.014098183574443184	0.02645502380952558	0.0	0.126746353945151	0.4379913834327981	0.14613889101868355	0.24857006421940853
HC259_BND	HC259	BND	H	conv:MiXcr	0.01482342013098413	0.033080155220624234	0.0	0.1268946584960762	0.44915984159693434	0.15413762630709352	0.22190419824829738
HC260_BND	HC260	BND	H	conv:MiXcr	0.010301755091516804	0.017001606016882023	0.0	0.10810040966980343	0.40609073356851233	0.14633624556921176	0.31216915008408347
S253_BND	S253	BND	S	conv:MiXcr	0.03054585648063825	0.020206579803943744	0.0	0.17118718322898066	0.5070523892963954	0.19846657528828002	0.07254131590177185
S262_BND	S262	BND	S	conv:MiXcr	0.02541562636095353	0.036885099250716785	0.0	0.15155541017078492	0.4914641227003657	0.15695527149479604	0.13772437002239285
S274_BND	S274	BND	S	conv:MiXcr	0.016762111801223976	0.023047903726682934	0.0	0.10188313626176804	0.5228053805988231	0.18089235714814664	0.15460901046336523
S307_BND	S307	BND	S	conv:MiXcr	0.017655927179855712	0.029503874560049836	0.0	0.12249369093879554	0.5351750972746032	0.1923758672872186	0.10279544275948693
HC257_NAIVE	HC257	NAIVE	H	conv:MiXcr	0.014700785048180148	0.03134605243272837	2.492926072270644E-6	0.1542772229085711	0.45444546541810255	0.14868060387634124	0.19654727739001443
HC258_NAIVE	HC258	NAIVE	H	conv:MiXcr	0.01520492041094966	0.029170616669367534	0.0	0.16195785532080745	0.43447147367710587	0.13026251226598634	0.2289325216557932
HC259_NAIVE	HC259	NAIVE	H	conv:MiXcr	0.012866640903193682	0.03104746830497932	0.0	0.14626523238526543	0.4635662246016407	0.13287098033533723	0.21338335346959358
HC260_NAIVE	HC260	NAIVE	H	conv:MiXcr	0.011981005261461628	0.019125590947802713	0.0	0.138998918676306	0.40885352397995595	0.14353271814148005	0.27750814299300364
S253_NAIVE	S253	NAIVE	S	conv:MiXcr	0.028401705561789115	0.029900192698508788	0.0	0.23475033929166322	0.4794336882533216	0.11683141481985412	0.11068255937487323
S262_NAIVE	S262	NAIVE	S	conv:MiXcr	0.01894235150331648	0.031137139087799436	0.0	0.161143846333673	0.4779324109973376	0.14567362185094584	0.16517053022693773
S274_NAIVE	S274	NAIVE	S	conv:MiXcr	0.02422155341539577	0.03472654081991501	0.0	0.18939961517709264	0.4734033910968881	0.13234020936716484	0.14590859012355356
S307_NAIVE	S307	NAIVE	S	conv:MiXcr	0.01933621579763886	0.035755593750624794	0.0	0.18622438605339406	0.5050689637186119	0.13213914971749166	0.12147559096224876
HC257_ACS	HC257	ACS	H	conv:MiXcr	0.01926245698501428	0.03426865294616758	0.0	0.11004160257906617	0.5410455482858352	0.1963833084705543	0.09899833073337251
